n,sign,q,value,factors,prime,rough_squarefree_P2
1022,1,5,1044489,3*348163,0,0
1022,1,7,1044491,7*149213,0,1
1022,1,11,1044495,3*3*3*3*5*2579,0,0
1022,1,13,1044497,17*61441,0,1
1022,1,17,1044501,3*421*827,0,0
1022,1,19,1044503,61*17123,0,1
1022,1,23,1044507,3*397*877,0,0
1022,1,29,1044513,3*3*43*2699,0,0
1022,1,31,1044515,5*317*659,0,0
1022,1,37,1044521,157*6653,0,1
1022,1,41,1044525,3*5*5*19*733,0,0
1022,1,43,1044527,11*269*353,0,0
1022,-1,3,1044481,47*71*313,0,0
1022,-1,5,1044479,1044479,1,1
1022,-1,7,1044477,3*3*7*59*281,0,0
1022,-1,11,1044473,37*28229,0,1
1022,-1,13,1044471,3*53*6569,0,0
1022,-1,17,1044467,151*6917,0,1
1022,-1,19,1044465,3*5*179*389,0,0
1022,-1,23,1044461,11*94951,0,1
1022,-1,29,1044455,5*208891,0,0
1022,-1,31,1044453,3*23*15137,0,0
1022,-1,37,1044447,3*348149,0,0
1022,-1,41,1044443,1044443,1,1
1022,-1,43,1044441,3*3*3*101*383,0,0
1024,1,3,1048579,7*163*919,0,0
1024,1,5,1048581,3*3*263*443,0,0
1024,1,7,1048583,1048583,1,1
1024,1,11,1048587,3*349529,0,0
1024,1,13,1048589,1048589,1,1
1024,1,17,1048593,3*7*13*23*167,0,0
1024,1,19,1048595,5*209719,0,0
1024,1,23,1048599,3*3*3*71*547,0,0
1024,1,29,1048605,3*5*53*1319,0,0
1024,1,31,1048607,7*59*2539,0,0
1024,1,37,1048613,1048613,1,1
1024,1,41,1048617,3*3*37*47*67,0,0
1024,1,43,1048619,11*13*7333,0,0
1024,-1,3,1048573,1048573,1,1
1024,-1,5,1048571,1048571,1,1
1024,-1,7,1048569,3*193*1811,0,0
1024,-1,11,1048565,5*7*29959,0,0
1024,-1,13,1048563,3*3*116507,0,0
1024,-1,17,1048559,1048559,1,1
1024,-1,19,1048557,3*349519,0,0
1024,-1,23,1048553,11*19*29*173,0,0
